price,bedrooms,bathrooms,area living,area lot,floors,waterfront,view quality,condition,area above,area basement,prices_view,year,month,day,time since construction,time since reform,city_Auburn,city_Bellevue,city_Burien,city_Des Moines,city_Federal Way,city_Issaquah,city_Kenmore,city_Kent,city_Kirkland,city_Maple Valley,city_Mercer Island,city_Redmond,city_Renton,city_Sammamish,city_Seattle,city_Shoreline,city_Snoqualmie,city_Woodinville
376000.0,0.375,0.2962962962962963,0.10031023784901758,0.0006948713649658153,0.8000000000000002,0.0,0.0,0.5,0.13269493844049246,0.0,0.010885765493821337,0.0,0.0,0.26666666666666666,0.05263157894736842,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2238888.0,0.625,0.9629629629629629,0.7135470527404344,0.12051174574787162,0.4,0.0,0.0,0.5,0.8276333789329685,0.1763485477178423,0.0811767946420149,0.0,0.0,0.26666666666666666,0.03508771929824561,0.03508771929824561,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
324000.0,0.375,0.3333333333333333,0.06494312306101345,0.0002477691462210548,0.4,0.0,0.0,0.5,0.058549931600547195,0.04149377593360996,0.00892368644467503,0.0,0.0,0.26666666666666666,0.06140350877192982,0.06140350877192982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
549900.0,0.625,0.4074074074074074,0.2781799379524302,0.005939939268615287,0.0,0.0,0.0,1.0,0.16826265389876882,0.3029045643153527,0.017447410621639466,0.0,0.0,0.3,0.3070175438596491,0.3070175438596491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
320000.0,0.375,0.37037037037037035,0.18200620475698034,0.005897091972652247,0.4,0.0,0.0,0.5,0.24076607387140903,0.0,0.008772757287048391,0.0,0.0,0.3,0.09649122807017543,0.09649122807017543,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
875000.0,0.5,0.2962962962962963,0.2223371251292658,0.0049945043685612625,0.0,0.0,0.0,0.5,0.1409028727770178,0.23236514522821577,0.029714177907744548,0.0,0.0,0.3,0.8157894736842105,0.06140350877192982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
265000.0,0.5,0.14814814814814814,0.1623578076525336,0.008285362991113845,0.0,0.0,0.0,0.5,0.09712722298221614,0.17842323651452283,0.006697481369682104,0.0,0.0,0.3,0.45614035087719296,0.09649122807017543,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
394950.0,0.375,0.37037037037037035,0.10134436401240951,0.0005700553288995698,0.8000000000000002,0.0,0.0,0.5,0.12311901504787963,0.016597510373443983,0.011600792378077538,0.0,0.0,0.3,0.07017543859649122,0.07017543859649122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
842500.0,0.5,0.37037037037037035,0.18510858324715615,0.00434061737364705,0.6,0.0,0.0,0.75,0.2448700410396717,0.0,0.028487878502028108,0.0,0.0,0.3333333333333333,0.9824561403508771,0.9824561403508771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
368000.0,0.375,0.37037037037037035,0.10341261633919338,0.0006632016244713947,0.4,0.0,0.0,0.5,0.08755129958960327,0.07468879668049792,0.010583907178568058,0.0,0.0,0.3333333333333333,0.06140350877192982,0.06140350877192982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
